BM_;ZBSH;1;LeakAMinSet;Parameter of minimal leakage current on set 1;HR5 - Parameter of minimal leakage current on set 1;
BM_;ZBSH;1;ReactSet;Parameter of capacitance initial value - Set 1 - Phase A;HR7 - Parameter of capacitance initial value - Set 1 - Phase A;
BM_;ZBSH;1;LosFactSet;Parameter of delta tangent initial value - Set 1 - Phase A;HR8 - Parameter of delta tangent initial value - Set 1 - Phase A;
BM_;ZBSH;1;ReactWrnSpt;Parameter of alarm by capacitance - High - Set 1 - Phase A;HR33 - Parameter of alarm by capacitance - High - Set 1 - Phase A;
BM_;ZBSH;1;ReactAlmSpt;Parameter of alarm by capacitance - Very high - Set 1 - Phase A;HR34 - Parameter of alarm by capacitance - Very high - Set 1 - Phase A;
BM_;ZBSH;2;ReactSet;Parameter of capacitance initial value - Set 1 - Phase B;HR9 - Parameter of capacitance initial value - Set 1 - Phase B;
BM_;ZBSH;2;LosFactSet;Parameter of delta tangent initial value - Set 1 - Phase B;HR10 - Parameter of delta tangent initial value - Set 1 - Phase B;
BM_;ZBSH;3;ReactSet;Parameter of capacitance initial value - Set 1 - Phase C;HR11 - Parameter of capacitance initial value - Set 1 - Phase C;
BM_;ZBSH;3;LosFactSet;Parameter of delta tangent initial value - Set 1 - Phase C;HR12 - Parameter of delta tangent initial value - Set 1 - Phase C;
BM_;ZBSH;4;ReactSet;Parameter of capacitance initial value - Set 1 - Phase R;HR13 - Parameter of capacitance initial value - Set 1 - Phase R;
BM_;ZBSH;4;LosFactSet;Parameter of delta tangent initial value - Set 1 - Phase R;HR14 - Parameter of delta tangent initial value - Set 1 - Phase R;
BM_;LPHD;1;RlyHysSet;Parameter of relay hysteresis;HR31 - Parameter of relay hysteresis;
BM_;LPHD;1;AnOutLimSet;Parameter of mA output scale;HR0 - Parameter of mA output scale;
BM_;LPHD;1;RTDSet;Parameter of RTD configuration;HR1 - Parameter of RTD configuration;
BM_;LPHD;1;LngSet;Parameter of interface language;HR2 - Parameter of interface language;
BM_;LPHD;1;TmMemSet;Parameter of time interval to record measurements in mass storage;HR3 - Parameter of time interval to record measurements in mass storage;
BM_;ZBSH;1;LosFacWrnSpt;Parameter of alarm by delta tangent - High - Set 1 - Phase A;HR35 - Parameter of alarm by delta tangent - High - Set 1 - Phase A;
BM_;ZBSH;1;LosFacAlmSpt;Parameter of alarm by delta tangent - Very high - Set 1 - Phase A;HR36 - Parameter of alarm by delta tangent - Very high - Set 1 - Phase A;
BM_;ZBSH;1;PctLeakASpt2;Parameter of alarm by leakage current - High - Set 1 - Phase A;HR130 - Parameter of alarm by leakage current - High - Set 1 - Phase A;
BM_;ZBSH;1;LeakAWrnSpt;Parameter of alarm by leakage current - Very high - Set 1 - Phase A;HR132 - Parameter of alarm by leakage current - Very high - Set 1 - Phase A;
BM_;ZBSH;1;LosFacWrnSet;Parameter of minimal value for alarm by delta tangent - High;HR226 - Parameter of minimal value for alarm by delta tangent - High;
BM_;ZBSH;1;LosFacAlmSet;Parameter of minimal value for alarm by delta tangent - Very high;HR227 - Parameter of minimal value for alarm by delta tangent - Very high;
BM_;ZBSH;2;ReactWrnSpt;Parameter of alarm by capacitance - High - Set 1 - Phase B;HR39 - Parameter of alarm by capacitance - High - Set 1 - Phase B;
